event_id,account_id,user_id,event_name,entity_type,entity_id,event_at_utc,ingested_at_utc
evt_0000001,acc_0001,usr_00001,project_created,project,prj_00001,2026-01-16 00:00:00+00:00,2026-01-16 00:00:00+00:00
evt_0000002,acc_0001,usr_00013,work_note_added,task,tsk_000001,2026-01-12 00:00:00+00:00,2026-01-12 00:00:00+00:00
evt_0000003,acc_0001,usr_00001,login_succeeded,account,acc_0001,2026-01-11 00:00:00+00:00,2026-01-11 00:00:00+00:00
evt_0000004,acc_0001,usr_00005,login_succeeded,account,acc_0001,2026-01-04 00:00:00+00:00,2026-01-05 00:00:00+00:00
evt_0000005,acc_0001,usr_00007,dashboard_viewed,account,acc_0001,2025-12-12 00:00:00+00:00,2025-12-12 00:00:00+00:00
evt_0000006,acc_0001,usr_00001,project_created,project,prj_00001,2026-01-30 00:00:00+00:00,2026-01-30 00:00:00+00:00
evt_0000007,acc_0001,usr_00002,work_note_added,task,tsk_000003,2026-01-03 00:00:00+00:00,2026-01-03 00:00:00+00:00
evt_0000008,acc_0001,usr_00002,task_assigned,task,tsk_000003,2026-01-09 00:00:00+00:00,2026-01-12 00:00:00+00:00
evt_0000009,acc_0001,usr_00005,work_note_added,task,tsk_000004,2026-01-27 00:00:00+00:00,2026-01-27 00:00:00+00:00
evt_0000010,acc_0001,usr_00014,project_created,project,prj_00001,2026-01-27 00:00:00+00:00,2026-01-27 00:00:00+00:00
evt_0000011,acc_0001,usr_00004,project_created,project,prj_00001,2026-01-26 00:00:00+00:00,2026-01-26 00:00:00+00:00
evt_0000012,acc_0001,usr_00008,login_succeeded,account,acc_0001,2026-01-19 00:00:00+00:00,2026-01-21 00:00:00+00:00
evt_0000013,acc_0001,usr_00002,project_created,project,prj_00001,2025-12-21 00:00:00+00:00,2025-12-21 00:00:00+00:00
evt_0000014,acc_0001,usr_00012,login_succeeded,account,acc_0001,2025-12-10 00:00:00+00:00,2025-12-10 00:00:00+00:00
evt_0000015,acc_0001,usr_00012,dashboard_viewed,account,acc_0001,2026-01-08 00:00:00+00:00,2026-01-08 00:00:00+00:00
evt_0000016,acc_0001,usr_00014,task_status_changed,task,tsk_000007,2026-01-07 00:00:00+00:00,2026-01-07 00:00:00+00:00
evt_0000017,acc_0001,usr_00004,dashboard_viewed,account,acc_0001,2026-01-22 00:00:00+00:00,2026-01-23 00:00:00+00:00
evt_0000018,acc_0001,usr_00001,project_created,project,prj_00001,2026-01-21 00:00:00+00:00,2026-01-21 00:00:00+00:00
evt_0000019,acc_0001,usr_00007,login_succeeded,account,acc_0001,2026-01-13 00:00:00+00:00,2026-01-13 00:00:00+00:00
evt_0000020,acc_0001,usr_00010,project_created,project,prj_00001,2026-01-19 00:00:00+00:00,2026-01-19 00:00:00+00:00
evt_0000021,acc_0001,usr_00012,work_note_added,task,tsk_000008,2026-01-21 00:00:00+00:00,2026-01-21 00:00:00+00:00
evt_0000022,acc_0001,usr_00001,project_created,project,prj_00001,2026-01-21 00:00:00+00:00,2026-01-21 00:00:00+00:00
evt_0000023,acc_0001,usr_00008,dashboard_viewed,account,acc_0001,2026-01-30 00:00:00+00:00,2026-01-30 00:00:00+00:00
evt_0000024,acc_0001,usr_00009,dashboard_viewed,account,acc_0001,2026-01-29 00:00:00+00:00,2026-01-29 00:00:00+00:00
evt_0000025,acc_0001,usr_00008,dashboard_viewed,account,acc_0001,2026-01-29 00:00:00+00:00,2026-01-29 00:00:00+00:00
evt_0000026,acc_0001,usr_00007,login_succeeded,account,acc_0001,2026-01-29 00:00:00+00:00,2026-01-29 00:00:00+00:00
evt_0000027,acc_0001,usr_00008,dashboard_viewed,account,acc_0001,2026-01-16 00:00:00+00:00,2026-01-16 00:00:00+00:00
evt_0000028,acc_0001,usr_00006,project_created,project,prj_00001,2025-12-27 00:00:00+00:00,2025-12-27 00:00:00+00:00
evt_0000029,acc_0001,usr_00005,project_created,project,prj_00001,2026-01-28 00:00:00+00:00,2026-01-28 00:00:00+00:00
evt_0000030,acc_0001,usr_00002,project_created,project,prj_00001,2026-01-15 00:00:00+00:00,2026-01-15 00:00:00+00:00
evt_0000031,acc_0001,usr_00013,handoff_completed,task,tsk_000011,2026-01-04 00:00:00+00:00,2026-01-04 00:00:00+00:00
evt_0000032,acc_0001,usr_00006,project_created,project,prj_00001,2026-01-04 00:00:00+00:00,2026-01-06 00:00:00+00:00
evt_0000033,acc_0001,usr_00009,login_succeeded,account,acc_0001,2026-01-13 00:00:00+00:00,2026-01-13 00:00:00+00:00
evt_0000034,acc_0001,usr_00003,project_created,project,prj_00001,2026-01-22 00:00:00+00:00,2026-01-22 00:00:00+00:00
evt_0000035,acc_0001,usr_00013,login_succeeded,account,acc_0001,2026-01-31 00:00:00+00:00,2026-01-31 00:00:00+00:00
