task_id,account_id,project_id,created_by_user_id,assignee_user_id,task_status,priority,has_blocker,created_at_utc,start_at_utc,due_at_utc,completed_at_utc
tsk_000001,acc_0001,prj_00001,usr_00005,usr_00012,done,high,False,2026-02-01 00:00:00+00:00,2026-02-03 00:00:00+00:00,2026-02-24 00:00:00+00:00,2026-02-22 00:00:00+00:00
tsk_000002,acc_0001,prj_00001,usr_00002,usr_00009,done,medium,False,2026-02-05 00:00:00+00:00,2026-02-05 00:00:00+00:00,2026-02-12 00:00:00+00:00,2026-02-22 00:00:00+00:00
tsk_000003,acc_0001,prj_00001,usr_00006,usr_00008,done,medium,True,2026-02-23 00:00:00+00:00,2026-02-25 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-02-26 00:00:00+00:00
tsk_000004,acc_0001,prj_00001,usr_00008,usr_00004,done,high,False,2026-01-20 00:00:00+00:00,2026-01-20 00:00:00+00:00,2026-02-10 00:00:00+00:00,2026-01-25 00:00:00+00:00
tsk_000005,acc_0001,prj_00001,usr_00003,usr_00006,done,high,False,2026-01-27 00:00:00+00:00,2026-01-30 00:00:00+00:00,2026-02-02 00:00:00+00:00,2026-02-18 00:00:00+00:00
tsk_000006,acc_0001,prj_00001,usr_00007,usr_00003,in_progress,medium,False,2026-02-01 00:00:00+00:00,2026-02-04 00:00:00+00:00,2026-02-20 00:00:00+00:00,
tsk_000007,acc_0001,prj_00001,usr_00009,usr_00008,backlog,high,False,2026-02-08 00:00:00+00:00,2026-02-11 00:00:00+00:00,2026-02-22 00:00:00+00:00,
tsk_000008,acc_0001,prj_00001,usr_00014,usr_00011,backlog,medium,False,2026-01-12 00:00:00+00:00,2026-01-15 00:00:00+00:00,2026-02-05 00:00:00+00:00,
tsk_000009,acc_0001,prj_00001,usr_00005,usr_00009,in_progress,medium,False,2026-01-05 00:00:00+00:00,2026-01-07 00:00:00+00:00,2026-01-27 00:00:00+00:00,
tsk_000010,acc_0001,prj_00001,usr_00007,usr_00008,in_progress,medium,False,2026-01-13 00:00:00+00:00,2026-01-16 00:00:00+00:00,2026-01-31 00:00:00+00:00,
tsk_000011,acc_0001,prj_00001,usr_00009,usr_00011,backlog,high,False,2026-02-19 00:00:00+00:00,2026-02-22 00:00:00+00:00,2026-02-27 00:00:00+00:00,
tsk_000012,acc_0001,prj_00001,usr_00002,usr_00004,backlog,medium,True,2026-02-06 00:00:00+00:00,2026-02-06 00:00:00+00:00,2026-02-25 00:00:00+00:00,
tsk_000013,acc_0001,prj_00001,usr_00008,usr_00009,backlog,medium,False,2026-01-19 00:00:00+00:00,2026-01-20 00:00:00+00:00,2026-01-27 00:00:00+00:00,
tsk_000014,acc_0001,prj_00001,usr_00009,usr_00014,cancelled,medium,False,2026-01-19 00:00:00+00:00,2026-01-20 00:00:00+00:00,2026-01-28 00:00:00+00:00,
tsk_000015,acc_0001,prj_00001,usr_00002,usr_00007,done,critical,False,2026-02-25 00:00:00+00:00,2026-02-26 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-02-26 00:00:00+00:00
tsk_000016,acc_0001,prj_00001,usr_00005,usr_00003,cancelled,medium,False,2026-02-22 00:00:00+00:00,2026-02-24 00:00:00+00:00,2026-03-09 00:00:00+00:00,
tsk_000017,acc_0001,prj_00001,usr_00001,,backlog,high,False,2026-02-03 00:00:00+00:00,2026-02-04 00:00:00+00:00,2026-02-11 00:00:00+00:00,
tsk_000018,acc_0001,prj_00002,usr_00013,usr_00012,cancelled,critical,False,2026-02-15 00:00:00+00:00,2026-02-16 00:00:00+00:00,2026-02-21 00:00:00+00:00,
